af_mapping,qc_mapping,desc,current,TOA5_MCon_2006_08_31_1000,TOA5_MCon_2006_12_04_1930,TOA5_MCon_2007_06_07_1930,TOA5_MCon_2008_03_23_1400,TOA5_MCon_2008_07_08_1330,TOA5_MCon_2010_06_18_1600,TOA5_MCon_2013_11_12_1830,TOA5_MCon_2014_01_09_1600,TOA5_MCon_2014_01_14_1600,TOA5_MCon_2014_02_18_1800,TOA5_MCon_2014_03_20_1230,TOA5_MCon_2014_06_20_1130,TOA5_MCon_2016_04_06_1200
NaN,SOILT_P3_5_AVG,NaN,SoilT_P3_5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SOILT_P3_10_AVG,NaN,SoilT_P3_10_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SOILT_P3_30_AVG,NaN,SoilT_P3_30_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SOILT_P3_60_AVG,NaN,SoilT_P3_60_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SOILT_P2_5_AVG,NaN,SoilT_P2_5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SOILT_P2_10_AVG,NaN,SoilT_P2_10_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SOILT_P2_30_AVG,NaN,SoilT_P2_30_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SOILT_P2_60_AVG,NaN,SoilT_P2_60_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P1_5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P1_10_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P1_30_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P1_60_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P2_5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P2_10_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P2_30_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P2_60_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P3_5_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P3_10_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P3_30_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,Soil_CO2_P3_60_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SHF_P1_AVG,NaN,shf_p1_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SHF_P2_AVG,NaN,shf_p2_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,SHF_P3_AVG,NaN,shf_p3_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,,NaN,pit1_soilT_shf_2_Avg,dne,T107_C_Avg_1,T107_C_Avg_1,T107_C_Avg_1,T107_C_Avg_1,T107_C_Avg_1,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,pit1_soilT_shf_6_Avg,dne,T107_C_Avg_2,T107_C_Avg_2,T107_C_Avg_2,T107_C_Avg_2,T107_C_Avg_2,dne,dne,dne,dne,dne,dne,dne
NaN,,NaN,pit2_soilT_shf_2_Avg,dne,T107_C_Avg_3,T107_C_Avg_3,T107_C_Avg_3,T107_C_Avg_3,T107_C_Avg_3,pit2_soilT_shf_2cm_Avg,pit2_soilT_shf_2cm_Avg,pit2_soilT_shf_2cm_Avg,current,current,current,current
NaN,,NaN,pit2_soilT_shf_6_Avg,dne,T107_C_Avg_4,T107_C_Avg_4,T107_C_Avg_4,T107_C_Avg_4,T107_C_Avg_4,pit2_soilT_shf_6cm_Avg,pit2_soilT_shf_6cm_Avg,pit2_soilT_shf_6cm_Avg,current,current,current,current
NaN,TCAV_P1_AVG,NaN,tcav_p1_Avg,dne,dne,dne,dne,dne,dne,current,current,current,current,current,current,current
NaN,TCAV_P3_AVG,NaN,tcav_p3_Avg,dne,dne,dne,dne,dne,TCAV_Avg,current,current,current,current,current,current,current
